# decimal128 canonical text -> BID -> DPD encoding vectors (100 values)
# Generated from the decimal128-c engine via the decimal128-python wrapper.
# Every row is round-trip verified: text <-> BID <-> DPD all agree.
#
# Format: comma-separated. '#' begins a comment to end of line.
#         Blank lines and surrounding whitespace are ignored.
# Columns: canonical_text , BID_hex , DPD_hex
#   hex = 0x + 32 UPPERCASE hex digits, most-significant word first.
#
Infinity                                   , 0x78000000000000000000000000000000 , 0x78000000000000000000000000000000   # positive infinity
-2                                         , 0xB0400000000000000000000000000002 , 0xA2080000000000000000000000000002   # generated finite
3                                          , 0x30400000000000000000000000000003 , 0x22080000000000000000000000000003   # generated finite
-3                                         , 0xB0400000000000000000000000000003 , 0xA2080000000000000000000000000003   # generated finite
5                                          , 0x30400000000000000000000000000005 , 0x22080000000000000000000000000005   # generated finite
-5                                         , 0xB0400000000000000000000000000005 , 0xA2080000000000000000000000000005   # generated finite
7                                          , 0x30400000000000000000000000000007 , 0x22080000000000000000000000000007   # generated finite
-7                                         , 0xB0400000000000000000000000000007 , 0xA2080000000000000000000000000007   # generated finite
9                                          , 0x30400000000000000000000000000009 , 0x22080000000000000000000000000009   # generated finite
-9                                         , 0xB0400000000000000000000000000009 , 0xA2080000000000000000000000000009   # generated finite
10                                         , 0x3040000000000000000000000000000A , 0x22080000000000000000000000000010   # generated finite
-10                                        , 0xB040000000000000000000000000000A , 0xA2080000000000000000000000000010   # generated finite
42                                         , 0x3040000000000000000000000000002A , 0x22080000000000000000000000000042   # generated finite
-42                                        , 0xB040000000000000000000000000002A , 0xA2080000000000000000000000000042   # generated finite
99                                         , 0x30400000000000000000000000000063 , 0x2208000000000000000000000000005F   # generated finite
-99                                        , 0xB0400000000000000000000000000063 , 0xA208000000000000000000000000005F   # generated finite
100                                        , 0x30400000000000000000000000000064 , 0x22080000000000000000000000000080   # generated finite
-100                                       , 0xB0400000000000000000000000000064 , 0xA2080000000000000000000000000080   # generated finite
255                                        , 0x304000000000000000000000000000FF , 0x22080000000000000000000000000155   # generated finite
-255                                       , 0xB04000000000000000000000000000FF , 0xA2080000000000000000000000000155   # generated finite
500                                        , 0x304000000000000000000000000001F4 , 0x22080000000000000000000000000280   # generated finite
-500                                       , 0xB04000000000000000000000000001F4 , 0xA2080000000000000000000000000280   # generated finite
1000                                       , 0x304000000000000000000000000003E8 , 0x22080000000000000000000000000400   # generated finite
-1000                                      , 0xB04000000000000000000000000003E8 , 0xA2080000000000000000000000000400   # generated finite
9999                                       , 0x3040000000000000000000000000270F , 0x220800000000000000000000000024FF   # generated finite
-9999                                      , 0xB040000000000000000000000000270F , 0xA20800000000000000000000000024FF   # generated finite
12345                                      , 0x30400000000000000000000000003039 , 0x220800000000000000000000000049C5   # generated finite
-12345                                     , 0xB0400000000000000000000000003039 , 0xA20800000000000000000000000049C5   # generated finite
65536                                      , 0x30400000000000000000000000010000 , 0x220800000000000000000000000196B6   # generated finite
-65536                                     , 0xB0400000000000000000000000010000 , 0xA20800000000000000000000000196B6   # generated finite
100000                                     , 0x304000000000000000000000000186A0 , 0x22080000000000000000000000020000   # generated finite
-100000                                    , 0xB04000000000000000000000000186A0 , 0xA2080000000000000000000000020000   # generated finite
1000000                                    , 0x304000000000000000000000000F4240 , 0x22080000000000000000000000100000   # generated finite
-1000000                                   , 0xB04000000000000000000000000F4240 , 0xA2080000000000000000000000100000   # generated finite
987654321                                  , 0x3040000000000000000000003ADE68B1 , 0x22080000000000000000000038FD51A1   # generated finite
-987654321                                 , 0xB040000000000000000000003ADE68B1 , 0xA2080000000000000000000038FD51A1   # generated finite
9999999999                                 , 0x304000000000000000000002540BE3FF , 0x2208000000000000000000024FF3FCFF   # generated finite
-9999999999                                , 0xB04000000000000000000002540BE3FF , 0xA208000000000000000000024FF3FCFF   # generated finite
1000000000000000000                        , 0x30400000000000000DE0B6B3A7640000 , 0x22080000000000001000000000000000   # generated finite
-1000000000000000000                       , 0xB0400000000000000DE0B6B3A7640000 , 0xA2080000000000001000000000000000   # generated finite
12345678901234567890                       , 0x3040000000000000AB54A98CEB1F0AD2 , 0x220800000000000127177823534B9C1E   # generated finite
-12345678901234567890                      , 0xB040000000000000AB54A98CEB1F0AD2 , 0xA20800000000000127177823534B9C1E   # generated finite
123456789012345678901234567890             , 0x304000018EE90FF6C373E0EE4E3F0AD2 , 0x220800028E56F3C127177823534B9C1E   # generated finite
-123456789012345678901234567890            , 0xB04000018EE90FF6C373E0EE4E3F0AD2 , 0xA20800028E56F3C127177823534B9C1E   # generated finite
1E-40                                      , 0x2FF00000000000000000000000000001 , 0x21FE0000000000000000000000000001   # generated finite
-1E-40                                     , 0xAFF00000000000000000000000000001 , 0xA1FE0000000000000000000000000001   # generated finite
1E-20                                      , 0x30180000000000000000000000000001 , 0x22030000000000000000000000000001   # generated finite
-1E-20                                     , 0xB0180000000000000000000000000001 , 0xA2030000000000000000000000000001   # generated finite
0.000001                                   , 0x30340000000000000000000000000001 , 0x22068000000000000000000000000001   # generated finite
-0.000001                                  , 0xB0340000000000000000000000000001 , 0xA2068000000000000000000000000001   # generated finite
0.1                                        , 0x303E0000000000000000000000000001 , 0x2207C000000000000000000000000001   # generated finite
-0.1                                       , 0xB03E0000000000000000000000000001 , 0xA207C000000000000000000000000001   # generated finite
1E+1                                       , 0x30420000000000000000000000000001 , 0x22084000000000000000000000000001   # generated finite
-1E+1                                      , 0xB0420000000000000000000000000001 , 0xA2084000000000000000000000000001   # generated finite
1E+6                                       , 0x304C0000000000000000000000000001 , 0x22098000000000000000000000000001   # generated finite
-1E+6                                      , 0xB04C0000000000000000000000000001 , 0xA2098000000000000000000000000001   # generated finite
1E+20                                      , 0x30680000000000000000000000000001 , 0x220D0000000000000000000000000001   # generated finite
-1E+20                                     , 0xB0680000000000000000000000000001 , 0xA20D0000000000000000000000000001   # generated finite
1E+40                                      , 0x30900000000000000000000000000001 , 0x22120000000000000000000000000001   # generated finite
-1E+40                                     , 0xB0900000000000000000000000000001 , 0xA2120000000000000000000000000001   # generated finite
1E+300                                     , 0x32980000000000000000000000000001 , 0x22530000000000000000000000000001   # generated finite
-1E+300                                    , 0xB2980000000000000000000000000001 , 0xA2530000000000000000000000000001   # generated finite
