// from TestD128Sqrt: ExactTC + RefTC + testSpecialCases (sqrt is correctly-rounded; flags lib-pinned)
d128_sqrt_ctx TIES_TO_EVEN 0 -> 0
d128_sqrt_ctx TIES_TO_EVEN -0 -> -0
d128_sqrt_ctx TIES_TO_EVEN 1 -> 1
d128_sqrt_ctx TIES_TO_EVEN 4 -> 2
d128_sqrt_ctx TIES_TO_EVEN 9 -> 3
d128_sqrt_ctx TIES_TO_EVEN 16 -> 4
d128_sqrt_ctx TIES_TO_EVEN 25 -> 5
d128_sqrt_ctx TIES_TO_EVEN 81 -> 9
d128_sqrt_ctx TIES_TO_EVEN 100 -> 10
d128_sqrt_ctx TIES_TO_EVEN 121 -> 11
d128_sqrt_ctx TIES_TO_EVEN 10000 -> 100
d128_sqrt_ctx TIES_TO_EVEN 0.25 -> 0.5
d128_sqrt_ctx TIES_TO_EVEN 1.21 -> 1.1
d128_sqrt_ctx TIES_TO_EVEN 2.25 -> 1.5
d128_sqrt_ctx TIES_TO_EVEN 0.0625 -> 0.25
d128_sqrt_ctx TIES_TO_EVEN 100000000000000000000000000000000 -> 10000000000000000
d128_sqrt_ctx TIES_TO_EVEN 100000000000000020000000000000001 -> 10000000000000001
d128_sqrt_ctx TIES_TO_EVEN 2E-101 -> 4.472135954999579392818347337462552E-51 x
d128_sqrt_ctx TIES_TO_EVEN 9.999999999999999999999999999999999E+6144 -> 3.162277660168379331998893544432718E+3072 x
d128_sqrt_ctx TIES_TO_EVEN 1E-6143 -> 3.162277660168379331998893544432719E-3072 x
d128_sqrt_ctx TIES_TO_EVEN 1.000000000000000000000000000000007 -> 1.000000000000000000000000000000003 x
d128_sqrt_ctx TIES_TO_EVEN 6.02214076E+23 -> 776024533117.3493254666403283751111 x
d128_sqrt_ctx TIES_TO_EVEN 12 -> 3.464101615137754587054892683011745 x
d128_sqrt_ctx TIES_TO_EVEN 123 -> 11.09053650640941716205160010260993 x
d128_sqrt_ctx TIES_TO_EVEN 1234 -> 35.12833614050059160587031162535631 x
d128_sqrt_ctx TIES_TO_EVEN 12345 -> 111.1080555135405112450044387430752 x
d128_sqrt_ctx TIES_TO_EVEN 123456 -> 351.3630600959639866393338464041806 x
d128_sqrt_ctx TIES_TO_EVEN 7.3 -> 2.701851217221259206174683371486874 x
d128_sqrt_ctx TIES_TO_EVEN 8.1 -> 2.846049894151541398799004189989447 x
d128_sqrt_ctx TIES_TO_EVEN 30 -> 5.477225575051661134569697828008021 x
d128_sqrt_ctx TIES_TO_EVEN 300 -> 17.32050807568877293527446341505872 x
d128_sqrt_ctx TIES_TO_EVEN 3000 -> 54.77225575051661134569697828008021 x
d128_sqrt_ctx TIES_TO_EVEN 0.0001 -> 0.01
d128_sqrt_ctx TIES_TO_EVEN 0.00001 -> 0.003162277660168379331998893544432719 x
d128_sqrt_ctx TIES_TO_EVEN 123456789012345678901234567890123 -> 11111111061111110.99361111058186109 x
d128_sqrt_ctx TIES_TO_EVEN 9999999999999999999999999999999998 -> 99999999999999999.99999999999999999 x
d128_sqrt_ctx TIES_TO_EVEN 1.000000000000000000000000000000001 -> 1.000000000000000000000000000000000 x
d128_sqrt_ctx TIES_TO_EVEN 2E-6170 -> 1.414213562373095048801688724209698E-3085 x
d128_sqrt_ctx TIES_TO_EVEN 9E-6175 -> 9.486832980505137995996680633298156E-3088 x
d128_sqrt_ctx TIES_TO_EVEN 5E-6176 -> 2.236067977499789696409173668731276E-3088 x
d128_sqrt_ctx TIES_TO_EVEN -1 -> NaN i
d128_sqrt_ctx TIES_TO_EVEN -4 -> NaN i
d128_sqrt_ctx TIES_TO_EVEN NaN -> NaN
d128_sqrt_ctx TIES_TO_EVEN sNaN -> NaN i

d128_sqrt_ctx TIES_TO_EVEN Infinity -> Infinity
d128_sqrt_ctx TIES_TO_EVEN -Infinity -> NaN i
