-- Kotlin-legacy golden vectors for ln/log10/exp/exp10.
-- Generated by GenerateGoldenVectors; format is Intel readtest.in but
-- RESULT and FLAGS are the Kotlin implementation's own output.
bid128_log 1 [00000000000000000000000000000001] [b006461d212a90ec80dd3e73bdfcaa08] 20
bid128_log 1 [00000000000000000000000000000003] [b006461bbe2f7cce09857535350ad35c] 20
bid128_log 1 [30360000000000000000000000000001] [b00038c35ad9d6d20a2683cdc93afa67] 20
bid128_log 1 [0000106f4216d9dbbd95c90355555555] [b00645be9bf84701158769a47a2f992a] 20
bid128_log 1 [00420000000000000000000000000001] [b00645bd38fd32e29e2fa065f13dc27d] 20
bid128_log 1 [00420000000000000000000000000003] [b00645bbd6021ec426d7d727684bebd1] 20
bid128_log 1 [303e000000000000000000000000000b] [2ffbd5ea5c0b4edd50d666580f5f04dd] 20
bid128_log 1 [b03e000000000000000000000000000b] [7c000000000000000000000000000000] 01
bid128_log 1 [303c000000000000000000000000013a] [2ffe386a1f4488fc50bfdbd9bd21617b] 20
bid128_log 1 [303c000000000000000000000000013b] [2ffe38924147c872f65ba59c03a9495a] 20
bid128_log 1 [5ffea45894e4829567d9da2155555555] [300645c1a604dea5b875c1b3e14fbbc9] 20
bid128_log 1 [5fffed09bead87c0378d8e63ffffffff] [300645c308fff2c42fcd8af26a419275] 20
bid128_log 2 [00000000000000000000000000000001] [b006461d212a90ec80dd3e73bdfcaa07] 20
bid128_log 2 [00000000000000000000000000000003] [b006461bbe2f7cce09857535350ad35b] 20
bid128_log 2 [30360000000000000000000000000001] [b00038c35ad9d6d20a2683cdc93afa66] 20
bid128_log 2 [0000106f4216d9dbbd95c90355555555] [b00645be9bf84701158769a47a2f9929] 20
bid128_log 2 [00420000000000000000000000000001] [b00645bd38fd32e29e2fa065f13dc27c] 20
bid128_log 2 [00420000000000000000000000000003] [b00645bbd6021ec426d7d727684bebd0] 20
bid128_log 2 [303e000000000000000000000000000b] [2ffbd5ea5c0b4edd50d666580f5f04de] 20
bid128_log 2 [b03e000000000000000000000000000b] [7c000000000000000000000000000000] 01
bid128_log 2 [303c000000000000000000000000013a] [2ffe386a1f4488fc50bfdbd9bd21617c] 20
bid128_log 2 [303c000000000000000000000000013b] [2ffe38924147c872f65ba59c03a9495b] 20
bid128_log 2 [5ffea45894e4829567d9da2155555555] [300645c1a604dea5b875c1b3e14fbbca] 20
bid128_log 2 [5fffed09bead87c0378d8e63ffffffff] [300645c308fff2c42fcd8af26a419276] 20
bid128_log 3 [00000000000000000000000000000001] [b006461d212a90ec80dd3e73bdfcaa07] 20
bid128_log 3 [00000000000000000000000000000003] [b006461bbe2f7cce09857535350ad35b] 20
bid128_log 3 [30360000000000000000000000000001] [b00038c35ad9d6d20a2683cdc93afa66] 20
bid128_log 3 [0000106f4216d9dbbd95c90355555556] [b00645be9bf84701158769a47a2f9929] 20
bid128_log 3 [00420000000000000000000000000001] [b00645bd38fd32e29e2fa065f13dc27c] 20
bid128_log 3 [00420000000000000000000000000003] [b00645bbd6021ec426d7d727684bebd0] 20
bid128_log 3 [303e000000000000000000000000000b] [2ffbd5ea5c0b4edd50d666580f5f04dd] 20
bid128_log 3 [b03e000000000000000000000000000b] [7c000000000000000000000000000000] 01
bid128_log 3 [303c000000000000000000000000013a] [2ffe386a1f4488fc50bfdbd9bd21617b] 20
bid128_log 3 [303c000000000000000000000000013b] [2ffe38924147c872f65ba59c03a9495a] 20
bid128_log 3 [5ffea45894e4829567d9da2155555555] [300645c1a604dea5b875c1b3e14fbbc9] 20
bid128_log 3 [5fffed09bead87c0378d8e63ffffffff] [300645c308fff2c42fcd8af26a419275] 20
bid128_log 4 [30360000000000000000000000000001] [b00038c35ad9d6d20a2683cdc93afa66] 20
bid128_log 4 [303e000000000000000000000000000b] [2ffbd5ea5c0b4edd50d666580f5f04dd] 20
bid128_log 4 [b03e000000000000000000000000000b] [7c000000000000000000000000000000] 01
bid128_log 0 [7c000000000000000000000000000000] [7c000000000000000000000000000000] 00
bid128_log10 0 [00000000000000000000000000000000] [f8000000000000000000000000000000] 04
bid128_log10 0 [00000000000000000000000000000001] [b0400000000000000000000000001820] 00
bid128_log10 0 [00000000000000000000000000000000] [f8000000000000000000000000000000] 04
bid128_log10 0 [00420000000000000000000000000001] [b04000000000000000000000000017ff] 00
bid128_log10 0 [2ffded09bead87c0378d8e63ffffffff] [afb8d61fab8bb0fa1c6b85b90bd96be3] 20
bid128_log10 0 [5fffed09bead87c0378d8e63ffffffff] [30052ef8cde0236b3cc2e3ea40000000] 20
bid128_log10 0 [000e0000000000000000000000000000] [f8000000000000000000000000000000] 04
bid128_log10 0 [276e0000000000000000000000000000] [f8000000000000000000000000000000] 04
bid128_log10 0 [78000000000000000000000000000000] [78000000000000000000000000000000] 00
bid128_log10 0 [78000000000000000000000000000000] [78000000000000000000000000000000] 00
bid128_log10 0 [7c000000000000000000000000000000] [7c000000000000000000000000000000] 00
bid128_log10 0 [7c000001000000000000000000000000] [7c000001000000000000000000000000] 00
bid128_log10 0 [7c000000000000000000000000000000] [7c000000000000000000000000000000] 00
bid128_log10 0 [7e000000000000000000000000000000] [7c000000000000000000000000000000] 01
bid128_log10 0 [7e000000000000000000000000000000] [7c000000000000000000000000000000] 01
bid128_log10 0 [7e000000000000000000000000000001] [7c000000000000000000000000000001] 01
bid128_log10 0 [80000000000000000000000000000000] [f8000000000000000000000000000000] 04
bid128_log10 0 [800e0000000000000000000000000000] [f8000000000000000000000000000000] 04
bid128_log10 0 [a76e0000000000000000000000000000] [f8000000000000000000000000000000] 04
bid128_log10 0 [f8000000000000000000000000000000] [7c000000000000000000000000000000] 01
bid128_log10 0 [f8000000000000000000000000000000] [7c000000000000000000000000000000] 01
bid128_log10 0 [fc000000000000000000000000000000] [fc000000000000000000000000000000] 00
bid128_log10 0 [fc000001000000000000000000000000] [fc000001000000000000000000000000] 00
bid128_log10 0 [fe000000000000000000000000000000] [fc000000000000000000000000000000] 01
bid128_log10 0 [fe000000000000000000000000000001] [fc000000000000000000000000000001] 01
bid128_log10 0 [7c000000000000000000000000000000] [7c000000000000000000000000000000] 00
bid128_exp 0 [00000000000000000000000000000000] [30400000000000000000000000000001] 00
bid128_exp 0 [00000000000000000000000000000001] [2ffe314dc6448d9338c15b0a00000000] 20
bid128_exp 0 [00000000000000000000000000000001] [2ffe314dc6448d9338c15b0a00000000] 20
bid128_exp 0 [00000000000000000000000000000003] [2ffe314dc6448d9338c15b0a00000000] 20
bid128_exp 0 [30360000000000000000000000000001] [2ffe314de6946687fa9a6ce4d522288c] 20
bid128_exp 0 [0000106f4216d9dbbd95c90355555555] [2ffe314dc6448d9338c15b0a00000000] 20
bid128_exp 0 [00000000000000000000000000000000] [30400000000000000000000000000001] 00
bid128_exp 0 [00420000000000000000000000000001] [2ffe314dc6448d9338c15b0a00000000] 20
bid128_exp 0 [00420000000000000000000000000001] [2ffe314dc6448d9338c15b0a00000000] 20
bid128_exp 0 [00420000000000000000000000000003] [2ffe314dc6448d9338c15b0a00000000] 20
bid128_exp 0 [b03e000000000000000000000000000b] [2ffca41e3ccd254b03f792cb8386e943] 20
bid128_exp 0 [303e000000000000000000000000000b] [2ffe941de7f3e62522c6a134f28f61c0] 20
bid128_exp 0 [2ffded09bead87c0378d8e63ffffffff] [2ffe86058a4bf4de4e906accb26abb56] 20
bid128_exp 0 [30064cbcf04cbe3e34954c0aa814ede7] [78000000000000000000000000000000] 28
bid128_exp 0 [303c000000000000000000000000013a] [300071e92e020ddc30074a6407b1944c] 20
bid128_exp 0 [30400000000000000000000000000001] [2ffe86058a4bf4de4e906accb26abb56] 20
bid128_exp 0 [5fffed09bead87c0378d8e63ffffffff] [78000000000000000000000000000000] 28
bid128_exp 0 [5fffed09bead87c0378d8e63ffffffff] [78000000000000000000000000000000] 28
bid128_exp 0 [000e0000000000000000000000000000] [30400000000000000000000000000001] 00
bid128_exp 0 [276e0000000000000000000000000000] [30400000000000000000000000000001] 00
bid128_exp 0 [78000000000000000000000000000000] [78000000000000000000000000000000] 00
bid128_exp 0 [78000000000000000000000000000000] [78000000000000000000000000000000] 00
bid128_exp 0 [7c000000000000000000000000000000] [7c000000000000000000000000000000] 00
bid128_exp 0 [7c000001000000000000000000000000] [7c000001000000000000000000000000] 00
bid128_exp 0 [7c000000000000000000000000000000] [7c000000000000000000000000000000] 00
bid128_exp 0 [7e000000000000000000000000000000] [7c000000000000000000000000000000] 01
bid128_exp 0 [7e000000000000000000000000000000] [7c000000000000000000000000000000] 01
bid128_exp 0 [7e000000000000000000000000000001] [7c000000000000000000000000000001] 01
bid128_exp 0 [80000000000000000000000000000000] [30400000000000000000000000000001] 00
bid128_exp 0 [80000000000000000000000000000001] [2ffe314dc6448d9338c15b0a00000000] 20
bid128_exp 0 [80420000000000000000000000000001] [2ffe314dc6448d9338c15b0a00000000] 20
bid128_exp 0 [affded09bead87c0378d8e63ffffffff] [2ffcb560e9d6f0478b6eb0ca0a12fc11] 20
bid128_exp 0 [b00645bc590568678a9bca554875c90b] [0000629b8c891b267182b614000008fd] 20
bid128_exp 0 [b00645bd38fd32e29e2fa065f13dc27c] [0000314dc6448d9338c15b0a0000246f] 20
bid128_exp 0 [b006461c4132c6716d4968631534b095] [00000000000000000000000000000002] 30
bid128_exp 0 [b006461d212a90ec80dd3e73bdfcaa07] [00000000000000000000000000000001] 30
bid128_exp 0 [b006461e01225b679471148466c4a379] [00000000000000000000000000000001] 30
bid128_exp 0 [b00806f968e54c895e938bd8a90092cb] [000018a6e32246c99c60ad8500000ea8] 30
bid128_exp 0 [b03c000000000000000000000000013b] [2ffad346fcf71b9b1451c6667f7159ea] 20
bid128_exp 0 [dfffed09bead87c0378d8e63ffffffff] [00000000000000000000000000000000] 30
bid128_exp 0 [800e0000000000000000000000000000] [30400000000000000000000000000001] 00
bid128_exp 0 [a76e0000000000000000000000000000] [30400000000000000000000000000001] 00
bid128_exp 0 [f8000000000000000000000000000000] [30400000000000000000000000000000] 00
bid128_exp 0 [f8000000000000000000000000000000] [30400000000000000000000000000000] 00
bid128_exp 0 [fc000000000000000000000000000000] [fc000000000000000000000000000000] 00
bid128_exp 0 [fc000001000000000000000000000000] [fc000001000000000000000000000000] 00
bid128_exp 0 [fe000000000000000000000000000000] [fc000000000000000000000000000000] 01
bid128_exp 0 [fe000000000000000000000000000001] [fc000000000000000000000000000001] 01
bid128_exp 1 [00000000000000000000000000000001] [2ffe314dc6448d9338c15b0a00000000] 20
bid128_exp 1 [00000000000000000000000000000003] [2ffe314dc6448d9338c15b0a00000000] 20
bid128_exp 1 [30360000000000000000000000000001] [2ffe314de6946687fa9a6ce4d522288c] 20
bid128_exp 1 [0000106f4216d9dbbd95c90355555555] [2ffe314dc6448d9338c15b0a00000000] 20
bid128_exp 1 [00420000000000000000000000000001] [2ffe314dc6448d9338c15b0a00000000] 20
bid128_exp 1 [00420000000000000000000000000003] [2ffe314dc6448d9338c15b0a00000000] 20
bid128_exp 1 [b03e000000000000000000000000000b] [2ffca41e3ccd254b03f792cb8386e943] 20
bid128_exp 1 [303e000000000000000000000000000b] [2ffe941de7f3e62522c6a134f28f61c0] 20
bid128_exp 1 [300645c308fff2c42fcd8af26a419276] [5fffed09bead87c0378d8e63ffffffff] 28
bid128_exp 1 [30064cbcf04cbe3e34954c0aa814ede8] [5fffed09bead87c0378d8e63ffffffff] 28
bid128_exp 1 [303c000000000000000000000000013a] [300071e92e020ddc30074a6407b1944b] 20
bid128_exp 1 [30400000000000000000000000000001] [2ffe86058a4bf4de4e906accb26abb56] 20
bid128_exp 1 [5fffed09bead87c0378d8e63ffffffff] [5fffed09bead87c0378d8e63ffffffff] 28
bid128_exp 1 [b00645bc590568678a9bca554875c90b] [0000629b8c891b267182b614000008fd] 20
bid128_exp 1 [b00645bd38fd32e29e2fa065f13dc27d] [0000314dc6448d9338c15b09fffffd5f] 30
bid128_exp 1 [b00645be18f4fd5db1c376769a05bbef] [000018a6e32246c99c60ad84fffffb1f] 30
bid128_exp 1 [b006461c4132c6716d4968631534b096] [00000000000000000000000000000001] 30
bid128_exp 1 [b006461d212a90ec80dd3e73bdfcaa07] [00000000000000000000000000000001] 30
bid128_exp 1 [b006461e01225b679471148466c4a379] [00000000000000000000000000000000] 30
bid128_exp 1 [b03c000000000000000000000000013b] [2ffad346fcf71b9b1451c6667f7159e9] 20
bid128_exp 2 [00000000000000000000000000000001] [2ffe314dc6448d9338c15b0a00000000] 20
bid128_exp 2 [00000000000000000000000000000003] [2ffe314dc6448d9338c15b0a00000000] 20
bid128_exp 2 [30360000000000000000000000000001] [2ffe314de6946687fa9a6ce4d522288d] 20
bid128_exp 2 [0000106f4216d9dbbd95c90355555555] [2ffe314dc6448d9338c15b0a00000000] 20
bid128_exp 2 [00420000000000000000000000000001] [2ffe314dc6448d9338c15b0a00000000] 20
bid128_exp 2 [00420000000000000000000000000003] [2ffe314dc6448d9338c15b0a00000000] 20
bid128_exp 2 [b03e000000000000000000000000000b] [2ffca41e3ccd254b03f792cb8386e944] 20
bid128_exp 2 [303e000000000000000000000000000b] [2ffe941de7f3e62522c6a134f28f61c1] 20
bid128_exp 2 [30064cbcf04cbe3e34954c0aa814ede7] [78000000000000000000000000000000] 28
bid128_exp 2 [303c000000000000000000000000013a] [300071e92e020ddc30074a6407b1944c] 20
bid128_exp 2 [30400000000000000000000000000001] [2ffe86058a4bf4de4e906accb26abb57] 20
bid128_exp 2 [5fffed09bead87c0378d8e63ffffffff] [78000000000000000000000000000000] 28
bid128_exp 2 [b00645bd38fd32e29e2fa065f13dc27d] [0000314dc6448d9338c15b09fffffd60] 30
bid128_exp 2 [b00645be18f4fd5db1c376769a05bbef] [000018a6e32246c99c60ad84fffffb20] 30
bid128_exp 2 [b006461c4132c6716d4968631534b096] [00000000000000000000000000000002] 30
bid128_exp 2 [b006461d212a90ec80dd3e73bdfcaa08] [00000000000000000000000000000001] 30
bid128_exp 2 [b00806f93c1a240a5aa92dd5540bc74e] [0000629b8c891b267182b613ffffbade] 20
bid128_exp 2 [b0080703001d0923f53e820d3d7a1059] [00000000000000000000000000000001] 30
bid128_exp 2 [b03c000000000000000000000000013b] [2ffad346fcf71b9b1451c6667f7159ea] 20
bid128_exp 3 [00000000000000000000000000000001] [2ffe314dc6448d9338c15b0a00000000] 20
bid128_exp 3 [00000000000000000000000000000003] [2ffe314dc6448d9338c15b0a00000000] 20
bid128_exp 3 [30360000000000000000000000000001] [2ffe314de6946687fa9a6ce4d522288c] 20
bid128_exp 3 [0000106f4216d9dbbd95c90355555556] [2ffe314dc6448d9338c15b0a00000000] 20
bid128_exp 3 [00420000000000000000000000000001] [2ffe314dc6448d9338c15b0a00000000] 20
bid128_exp 3 [00420000000000000000000000000003] [2ffe314dc6448d9338c15b0a00000000] 20
bid128_exp 3 [b03e000000000000000000000000000b] [2ffca41e3ccd254b03f792cb8386e943] 20
bid128_exp 3 [303e000000000000000000000000000b] [2ffe941de7f3e62522c6a134f28f61c0] 20
bid128_exp 3 [300645c308fff2c42fcd8af26a419276] [5fffed09bead87c0378d8e63ffffffff] 28
bid128_exp 3 [30064cbcf04cbe3e34954c0aa814ede8] [5fffed09bead87c0378d8e63ffffffff] 28
bid128_exp 3 [303c000000000000000000000000013a] [300071e92e020ddc30074a6407b1944b] 20
bid128_exp 3 [30400000000000000000000000000001] [2ffe86058a4bf4de4e906accb26abb56] 20
bid128_exp 3 [5fffed09bead87c0378d8e63ffffffff] [5fffed09bead87c0378d8e63ffffffff] 28
bid128_exp 3 [b00645bc590568678a9bca554875c90b] [0000629b8c891b267182b614000008fd] 20
bid128_exp 3 [b00645bd38fd32e29e2fa065f13dc27c] [0000314dc6448d9338c15b0a0000246f] 20
bid128_exp 3 [b006461c4132c6716d4968631534b095] [00000000000000000000000000000002] 30
bid128_exp 3 [b006461d212a90ec80dd3e73bdfcaa07] [00000000000000000000000000000001] 30
bid128_exp 3 [b006461e01225b679471148466c4a379] [00000000000000000000000000000000] 30
bid128_exp 3 [b00806f968e54c895e938bd8a90092cb] [000018a6e32246c99c60ad8500000ea7] 30
bid128_exp 3 [b03c000000000000000000000000013b] [2ffad346fcf71b9b1451c6667f7159e9] 20
bid128_exp 4 [30360000000000000000000000000001] [2ffe314de6946687fa9a6ce4d522288c] 20
bid128_exp 4 [b03e000000000000000000000000000b] [2ffca41e3ccd254b03f792cb8386e943] 20
bid128_exp 4 [303e000000000000000000000000000b] [2ffe941de7f3e62522c6a134f28f61c0] 20
bid128_exp 0 [30063ec921b3274a2b05c9da2c6e3703] [5b329be98e340036baa9baf39995971a] 20
bid128_exp 0 [300645c308fff2c42fcd8af26a419275] [5fffed09bead87c0378d8e63fffec553] 20
bid128_exp 1 [30063ec921b3274a2b05c9da2c6e3704] [5b329be98e340036baa9baf3999612a0] 20
bid128_exp 2 [30063ec921b3274a2b05c9da2c6e3703] [5b329be98e340036baa9baf39995971a] 20
bid128_exp 2 [300645c308fff2c42fcd8af26a419275] [5fffed09bead87c0378d8e63fffec553] 20
bid128_exp 3 [30063ec921b3274a2b05c9da2c6e3704] [5b329be98e340036baa9baf3999612a0] 20
bid128_exp 0 [7c000000000000000000000000000000] [7c000000000000000000000000000000] 00
bid128_exp10 0 [5fffed09bead87c0378d8e63ffffffff] [78000000000000000000000000000000] 28
bid128_exp10 1 [5fffed09bead87c0378d8e63ffffffff] [5fffed09bead87c0378d8e63ffffffff] 28
bid128_exp10 2 [5fffed09bead87c0378d8e63ffffffff] [78000000000000000000000000000000] 28
bid128_exp10 3 [5fffed09bead87c0378d8e63ffffffff] [5fffed09bead87c0378d8e63ffffffff] 28
bid128_exp10 0 [2ff4329ba39f53cfcc521938f50c35fa] [2ffe314e12a321771e84548468386f5b] 20
bid128_exp10 0 [aff694d951344b6ea90c2d48a2752fb3] [2ffdecb208dadcfc309af0056f517543] 20
bid128_exp10 0 [2ff5b3fa07e60d9ad79866048ebc7687] [2ffe3150583bb600077d35a531008f7f] 20
bid128_exp10 0 [aff575dfe6ec0c095c04d5af5f537968] [2ffdecf3b551cc75a27a9f7bdc6adb0a] 20
bid128_exp10 0 [b000aa9eeb9637ce97ce137590ff2e75] [2fb87a25091fa9548163398ab6dadb5e] 20
bid128_exp10 0 [2ff9c5c4cb6fd4e9c4a474770abbdb1f] [2ffe325c1bae8d66889125a6d8755b94] 20
bid128_exp10 0 [b0020fc30edd1bbadf4831ec20627c88] [2fbe34f2ea82a16e9bd615aa0bd4fa64] 20
bid128_exp10 0 [2ffe76e0c10cbb28e93ea63237f50477] [30027f0f919bb243e3d1645e9dd6f5b5] 20
bid128_exp10 0 [aff58cb484957e29d59594064b72415c] [2ffdecf25cdd1e407dd6a9da7cafd8e2] 20
bid128_exp10 0 [3002a880624ff3cbf63c2b63d78c0bdf] [32a91cca4420c3e31f20a83fb2620f62] 20
bid128_exp10 0 [300434247578dedf8009a5b5d3600a03] [3840b8d1fc1e87b5a9c17da988a6ee35] 20
bid128_exp10 0 [b0026e50f05721531b3f664f7eec92ff] [2e3e5820a255a86986a98365a4b638fe] 20
bid128_exp10 0 [2ff4da21abbd018204c0fafbf4d374d2] [2ffe314f0f732a1baf2526e73b5e64ca] 20
bid128_exp10 0 [2ffda2e9db492c1359a00a705d2892df] [2fff5cc4e26510796d699666eff6faa2] 20
bid128_exp10 0 [affe2fd7b2f3d678da1c320a5b524f29] [2ffc34c92f651cc8508f46022443931f] 20
bid128_exp10 0 [b0058bf72fa4eea6e98489819368194d] [00000000000000000000000000000000] 30
bid128_exp10 0 [affe67a79998a7d1157f62bafd178a19] [2ff985816a1dbc4ff4b8847f3e9f7adb] 20
bid128_exp10 0 [2ffd06e8f64b817d325fe1466f1f39b4] [2ffea850e2c0c042c88ac97bd6d6ad39] 20
bid128_exp10 0 [2ff96b37ee80fd728ce7bb83bca2cf92] [2ffe3225b441e1427622205acdf3e354] 20
bid128_exp10 0 [b000205105ba35934350d64de9454da7] [2ff0898125734000683a4d314b2fad8a] 20
bid128_exp10 0 [2fff9f596d129d7f294e9a94037ec59b] [300e82f7d4da25252c7f312b9428459d] 20
bid128_exp10 0 [b0007d69b2bbd60253e323e2d1f32e48] [2fcab45a9e30130ca4558d65168173b6] 20
bid128_exp10 0 [affdb4f59ef2ffd56bfb010389825a9d] [2ffc4010a92e79ad97744df5cdd087da] 20
bid128_exp10 0 [aff9a3dfa7d8ebc022e120a8c25d243d] [2ffde376dbb703bf59211d121d68803f] 20
bid128_exp10 0 [affaf4e91175d95206c1e208157ad34a] [2ffdb7c03994f213018dae9e2afde67d] 20
bid128_exp10 0 [3001140120e1ede0b55fd8a3ca1056f9] [306dd738adaa7d34d7c2b613a7e1d05c] 20
bid128_exp10 0 [affa15fc99cf260d78b36617a0c01ca3] [2ffde80057c663ee37a27d2f00d48160] 20
bid128_exp10 0 [b004043a484184a47292e8787dbc4217] [2f52583c736eee49194fa3bea3d618ca] 20
bid128_exp10 0 [3004daa79b1120eacdcdd921f2378748] [52a358900328fe25ea5514fbb779027b] 20
bid128_exp10 0 [2ffd0668f2c9c54abde6d9354fee85c5] [2ffea7ec6026e53ce1bb4a97f523bc97] 20
bid128_exp10 0 [aff43e65b2c22d1da3765faf72d501c7] [2ffded06111a6503dd91b8de36f07cdd] 20
bid128_exp10 0 [aff993399cec0ebf40484093c94e6cbe] [2ffde3d7209197a9fa124e37c1b3d25c] 20
bid128_exp10 0 [aff6e41980765bbef90642743fd5543e] [2ffdec835c446dd16a3450c78b040685] 20
bid128_exp10 0 [2ff9dc6a53fe854bbfbea82c663c2fa7] [2ffe3269c025b76d113e7daa1e1f1167] 20
bid128_exp10 0 [affc97ac31a84a1347b4c9030a50adb7] [2ffcf2cd3f32edc921ed30c84e9884f0] 20
bid128_exp10 0 [affea1187ec3d72c5dc6f331ac2de03b] [2ff70a5c992227b9ca9baa63c233f46f] 20
bid128_exp10 0 [b001304fe20a4c666fd8e61abfa3d589] [2f825d8dfe825712699f406438a4ce51] 20
bid128_exp10 0 [3000bdb0995721659ed2f5309ad7932e] [304a92bda1c4230b121d8dade183af20] 20
bid128_exp10 0 [b00133b0baf168da392e135c97f4a2e7] [2f80c122c57cc2da7509da108832643a] 20
bid128_exp10 0 [2ffb2689a0d9a752ae76b7b41768444b] [2ffe38930a54ebea374416c83dc5cb64] 20
bid128_exp10 0 [affbc9487837fb8899aaf72198db13bb] [2ffd8e3a841230e66efca7f91ee04c20] 20
bid128_exp10 0 [aff8f64ccdf2a0818bec7c58f63e84e2] [2ffde76637ef7b4743dd9793fdfba14a] 20
bid128_exp10 0 [b004a4bdd08c9e40a6287a2cff92bf87] [15e2da4b03a5179cecd487bf78f00ca7] 20
bid128_exp10 0 [b0010585db50e3f3223fef94faca3c5b] [2f93be6a5867ac88845eaab4c5c0a82c] 20
bid128_exp10 0 [affa4a145df51746b9af51ae9dc491ec] [2ffddc45b602716f8594111a2a0651e3] 20
bid128_exp10 0 [3003c9455911ffd3ee7ccf53a2c26d4a] [373c8cbe7e7942306a7103e0ea6f91e7] 20
bid128_exp10 0 [30000685c2e5741c956c72068f1981eb] [300067b49996cbed1ab95d92cc0e2a25] 20
bid128_exp10 0 [affb5f2e293899d149f57593ced18bd3] [2ffda2756e932001b41823e63af18c62] 20
bid128_exp10 0 [aff5e2280e6d816d3c26b08cd6679345] [2ffdeced53a621e199cfd7e509338143] 20
bid128_exp10 0 [affb0887b2a4be3ab0becb721d49c012] [2ffdb3bd6d53eba7e0de3b4e1f1f17c0] 20
bid128_exp10 0 [b004e62aab6b7272176b6395f99b2060] [0b84e40db9737b4c4924f62dc1e2c7e6] 20
bid128_exp10 0 [b005db5e877e758bfe53dd5e06733086] [00000000000000000000000000000000] 30
bid128_exp10 0 [300270b233577ed5e6573334da4353a6] [31c6b93ba2f521e31af5682c728fbf5a] 20
bid128_exp10 0 [2ff781064ece31f1b4eb77f3d1dbe1dd] [2ffe31647d9a0e1a9dd045d0eeeba9e8] 20
bid128_exp10 0 [aff8695bcbecd03b95b3ae681a9354f8] [2ffdea9e38c05f308898d9ccaee11605] 20
bid128_exp10 0 [affde3a3fad8c3c3790abacc24d6e551] [2ffc33840edc2ec5e6322fe0d50e14db] 20
bid128_exp10 0 [affb24db450536e583f73343defa3382] [2ffdae0374d4209b20b34c3f3c0f989e] 20
bid128_exp10 0 [aff326423a0a7b101d519b61172c17f6] [2ffded0802a3545536e6ec5949379814] 20
bid128_exp10 0 [b0012eff2b6063a539d79196ce13e1f9] [2f82aceab89e47eb8d56edbc5780d638] 20
bid128_exp10 0 [2ff7d77c5c7c532dd37f8b661c32777a] [2ffe316998ee86bad8bcfb77aadf252d] 20
